[2022-06-03T16:50:00+0000] [PACMAN] Running 'pacman -Syu --root /tmp/newmsys/msys64'
[2022-06-03T16:50:00+0000] [PACMAN] synchronizing package lists
[2022-06-03T16:50:05+0000] [PACMAN] starting core system upgrade
[2022-06-03T16:50:05+0000] [PACMAN] starting full system upgrade
[2022-06-03T16:50:06+0000] [PACMAN] Running 'pacman -S --noconfirm --root /tmp/newmsys/msys64 filesystem msys2-runtime'
[2022-06-03T16:50:10+0000] [ALPM] transaction started
[2022-06-03T16:50:10+0000] [ALPM] installed filesystem (2022.01-4)
[2022-06-03T16:50:10+0000] [ALPM] installed msys2-runtime (3.3.5-2)
[2022-06-03T16:50:10+0000] [ALPM] transaction completed
[2022-06-03T16:50:11+0000] [PACMAN] Running 'pacman -S --noconfirm --root /tmp/newmsys/msys64 base'
[2022-06-03T16:50:56+0000] [ALPM] transaction started
[2022-06-03T16:50:57+0000] [ALPM] installed bash (5.1.016-1)
[2022-06-03T16:50:57+0000] [ALPM] installed bash-completion (2.11-2)
[2022-06-03T16:50:57+0000] [ALPM] installed gcc-libs (11.3.0-1)
[2022-06-03T16:50:57+0000] [ALPM] installed libbz2 (1.0.8-3)
[2022-06-03T16:50:57+0000] [ALPM] installed libintl (0.21-2)
[2022-06-03T16:50:57+0000] [ALPM] installed libiconv (1.16-2)
[2022-06-03T16:50:57+0000] [ALPM] installed libexpat (2.4.8-1)
[2022-06-03T16:50:58+0000] [ALPM] installed libgettextpo (0.21-2)
[2022-06-03T16:50:58+0000] [ALPM] installed libasprintf (0.21-2)
[2022-06-03T16:50:58+0000] [ALPM] installed gettext (0.21-2)
[2022-06-03T16:50:58+0000] [ALPM] installed liblzma (5.2.5-2)
[2022-06-03T16:50:58+0000] [ALPM] installed liblz4 (1.9.3-2)
[2022-06-03T16:50:58+0000] [ALPM] installed zlib (1.2.12-2)
[2022-06-03T16:50:58+0000] [ALPM] installed libopenssl (1.1.1.o-1)
[2022-06-03T16:50:58+0000] [ALPM] installed libzstd (1.5.2-2)
[2022-06-03T16:50:58+0000] [ALPM] installed bsdtar (3.6.1-2)
[2022-06-03T16:50:58+0000] [ALPM] installed bzip2 (1.0.8-3)
[2022-06-03T16:50:58+0000] [ALPM] installed gmp (6.2.1-2)
[2022-06-03T16:50:58+0000] [ALPM] installed coreutils (8.32-2)
[2022-06-03T16:50:58+0000] [ALPM] installed openssl (1.1.1.o-1)
[2022-06-03T16:50:59+0000] [ALPM] installed findutils (4.9.0-3)
[2022-06-03T16:50:59+0000] [ALPM] installed sed (4.8-3)
[2022-06-03T16:50:59+0000] [ALPM] installed libffi (3.4.2-1)
[2022-06-03T16:51:06+0000] [ALPM] installed ncurses (6.3-3)
[2022-06-03T16:51:06+0000] [ALPM] installed libpcre (8.45-1)
[2022-06-03T16:51:06+0000] [ALPM] installed less (590-1)
[2022-06-03T16:51:06+0000] [ALPM] installed gzip (1.12-1)
[2022-06-03T16:51:06+0000] [ALPM] installed libcrypt (2.1-3)
